City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,7.51,73,100,18.15,NZ,1688605723
1,grytviken,-54.2811,-36.5092,0.09,97,100,3.66,GS,1688605998
2,albany,42.6001,-73.9662,26.36,80,4,1.8,US,1688605998
3,vikulovo,56.8167,70.6107,19.86,81,100,1.96,RU,1688606000
4,kerikeri,-35.2268,173.9474,17.73,82,59,1.34,NZ,1688605835
5,cambria,35.5641,-121.0808,27.41,74,17,3.83,US,1688606000
6,hawaiian paradise park,19.5933,-154.9731,27.73,74,40,4.12,US,1688606000
7,isafjordur,66.0755,-23.124,5.88,91,100,3.42,IS,1688606001
8,west island,-12.1568,96.8225,25.99,73,75,8.75,CC,1688606001
9,dwarka,22.2394,68.9678,28.4,83,92,3.48,IN,1688606001
10,saucillo,28.0167,-105.2833,34.19,25,26,7.21,MX,1688606002
11,ciudad lazaro cardenas,17.9583,-102.2,28.71,76,97,2.39,MX,1688606002
12,pecos,31.4229,-103.4932,36.28,28,0,6.69,US,1688606002
13,barra de santo antonio,-9.4047,-35.5072,22.6,75,100,4.8,BR,1688606002
14,torbat-e jam,35.244,60.6225,23.14,27,0,5.92,IR,1688606003
15,paracuru,-3.41,-39.0306,27.28,79,6,6.27,BR,1688606003
16,bilibino,68.0546,166.4372,12.56,43,98,5.25,RU,1688606003
17,lere,10.387,8.5726,20.28,91,68,1.93,NG,1688606003
18,edinburgh of the seven seas,-37.0676,-12.3116,10.68,68,100,11.97,SH,1688606003
19,adamstown,-25.066,-130.1015,20.81,72,100,3.5,PN,1688606004
20,badiyah,22.45,58.8,31.75,44,100,1.55,OM,1688605710
21,kayangel,8.0823,134.7173,28.69,76,100,5.2,PW,1688606004
22,weno,7.4515,151.8468,29.97,79,75,2.06,FM,1688606004
23,olonkinbyen,70.9221,-8.7187,4.95,94,98,2.92,SJ,1688606005
24,margaret river,-33.95,115.0667,13.02,75,100,5.36,AU,1688606005
25,quatre cocos,-20.2078,57.7625,22.06,68,30,5.63,MU,1688606005
26,lata,40.1629,-8.3327,13.83,97,100,0.98,PT,1688606005
27,nova sintra,14.8667,-24.7167,22.06,87,95,7.46,CV,1688606005
28,holualoa,19.6228,-155.9522,25.91,82,100,3.6,US,1688606006
29,amarkantak,22.6667,81.75,22.16,88,98,0.36,IN,1688606006
30,port-aux-francais,-49.35,70.2167,3.49,79,100,8.22,TF,1688606006
31,sechura,-5.5569,-80.8222,23.43,69,5,6.83,PE,1688606006
32,manaure,11.7751,-72.4445,28.6,73,100,10.55,CO,1688606006
33,saipan,15.1355,145.701,32.39,100,40,7.2,MP,1688606007
34,quellon,-43.1167,-73.6167,4.14,93,0,2.06,CL,1688606007
35,minas de marcona,-15.2119,-75.1103,13.02,86,50,5.66,PE,1688606007
36,cidreira,-30.1811,-50.2056,16.61,79,80,2.52,BR,1688606007
37,camarinas,43.1311,-9.1817,16.63,90,55,2.43,ES,1688606007
